b'Record: [ 22/07/19  22:27:36 ] - Action: Update - User: \xf0\x9f\x92\x99_Zeka_\xf0\x9f\x92\x99 - Content: \xf0\x9f\x92\x99_Zoki_\xf0\x9f\x92\x99'
b'Record: [ 22/07/19  22:32:30 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/eff8245171fdb95e6feed95926debec9.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/912afb2bacc6a1e5c27ab8530e3304b7.webp?size=1024'
b'Record: [ 22/07/19  22:55:15 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/912afb2bacc6a1e5c27ab8530e3304b7.webp?size=1024 - After: https://cdn.discordapp.com/embed/avatars/2.png'
b'Record: [ 23/07/19  00:03:58 ] - Action: Update - User: je suis tous ces enfants - Content: fancymintys'
b'Record: [ 23/07/19  03:01:12 ] - Action: Update - User: cromirko - Content: Drago'
b'Record: [ 23/07/19  03:36:48 ] - Action: Update - User: Deivis wii - Before: https://cdn.discordapp.com/avatars/154921983430098944/a_a62c67293dc99d928a7e5845e332827b.gif?size=1024 - After: https://cdn.discordapp.com/avatars/154921983430098944/dd7f9acfc6c5276e72c2408911fea949.webp?size=1024'
b'Record: [ 23/07/19  03:41:03 ] - Action: Update - User: Deivis wii - Before: https://cdn.discordapp.com/avatars/154921983430098944/dd7f9acfc6c5276e72c2408911fea949.webp?size=1024 - After: https://cdn.discordapp.com/avatars/154921983430098944/6de2971bc70b0840b986b47c9c61aeaf.webp?size=1024'
b'Record: [ 23/07/19  14:51:33 ] - Action: Update - User: sakuts - Before: https://cdn.discordapp.com/avatars/247647684758994945/bf75116d1af6db25ecd3e9b0ad6706c4.webp?size=1024 - After: https://cdn.discordapp.com/avatars/247647684758994945/d154e12ebf38b0e2f20390dc2286464e.webp?size=1024'
b'Record: [ 23/07/19  15:37:16 ] - Action: Update - User: Awken - Before: https://cdn.discordapp.com/avatars/187146411886903296/8dc44c87f77f84f234fc15196b038636.webp?size=1024 - After: https://cdn.discordapp.com/avatars/187146411886903296/989da0639804508c04b90239b46c8fd1.webp?size=1024'
b'Record: [ 23/07/19  16:51:28 ] - Action: Update - User: Sharunkis - Before: https://cdn.discordapp.com/avatars/256372124527230977/b7d5742f61a0eee198befbaffdbdf78d.webp?size=1024 - After: https://cdn.discordapp.com/avatars/256372124527230977/04683a65e10ee1b1c0826e1e71c7b430.webp?size=1024'
b'Record: [ 23/07/19  16:52:05 ] - Action: Update - User: Sharunkis - Content: emiliukasq'
b'Record: [ 23/07/19  18:24:13 ] - Action: Update - User: emiliukasq - Before: https://cdn.discordapp.com/avatars/256372124527230977/04683a65e10ee1b1c0826e1e71c7b430.webp?size=1024 - After: https://cdn.discordapp.com/avatars/256372124527230977/3309b2fa9fe6cc407b2445f2a5fd7d56.webp?size=1024'
b'Record: [ 23/07/19  18:24:21 ] - Action: Update - User: emiliukasq - Content: sharunkis'
b'Record: [ 23/07/19  22:32:15 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/embed/avatars/2.png - After: https://cdn.discordapp.com/avatars/287638667856445440/68ab149a1adacdb8033c923b70d6c95c.webp?size=1024'
b'Record: [ 23/07/19  22:52:42 ] - Action: Update - User: FaustRecht - Before: https://cdn.discordapp.com/avatars/566292177161027586/6d89b1b7025403ab99215627b1ee380b.webp?size=1024 - After: https://cdn.discordapp.com/avatars/566292177161027586/8920875c714417e75452af47f5d1bf44.webp?size=1024'
b'Record: [ 24/07/19  02:52:08 ] - Action: Update - User: Veterinaras - Before: https://cdn.discordapp.com/avatars/209710174087282689/a_92758f95b1881148c504d23c11958188.gif?size=1024 - After: https://cdn.discordapp.com/avatars/209710174087282689/5a7949991bce0f87e7860302bc33c0c2.webp?size=1024'
b'Record: [ 24/07/19  14:37:02 ] - Action: Update - User: FaustRecht - Before: https://cdn.discordapp.com/avatars/566292177161027586/8920875c714417e75452af47f5d1bf44.webp?size=1024 - After: https://cdn.discordapp.com/avatars/566292177161027586/0cbbc9c8e932e1464fdd1e701b23548e.webp?size=1024'
b'Record: [ 24/07/19  15:08:53 ] - Action: Update - User: FaustRecht - Before: https://cdn.discordapp.com/avatars/566292177161027586/0cbbc9c8e932e1464fdd1e701b23548e.webp?size=1024 - After: https://cdn.discordapp.com/avatars/566292177161027586/47a8dd6708f7e095b80db40b889ae84e.webp?size=1024'
b'Record: [ 24/07/19  16:29:25 ] - Action: Update - User: vudis - Before: https://cdn.discordapp.com/avatars/266324214250733568/0cf795dc5fefb6114b426593b79cad90.webp?size=1024 - After: https://cdn.discordapp.com/avatars/266324214250733568/c5ce45702aa3257f9299339d43cd1c9e.webp?size=1024'
b'Record: [ 24/07/19  17:54:12 ] - Action: Update - User: Sal - Before: https://cdn.discordapp.com/avatars/512240786427871252/7faa50982392b98be5e98bb66459b0da.webp?size=1024 - After: https://cdn.discordapp.com/avatars/512240786427871252/03812306f0dfa9787302c4ace3a6def9.webp?size=1024'
b'Record: [ 24/07/19  20:31:17 ] - Action: Update - User: \xe0\xbc\xbaEr\xc5\x87est\xe2\xb1\xa5\xe0\xbc\xbb - Before: https://cdn.discordapp.com/avatars/257102996402470913/75c5eae4e5e7bbe4acc2629dbe513891.webp?size=1024 - After: https://cdn.discordapp.com/avatars/257102996402470913/39216c7f65ab7eaa90c420530a1ece72.webp?size=1024'
b'Record: [ 24/07/19  21:08:18 ] - Action: Update - User: Awken - Before: https://cdn.discordapp.com/avatars/187146411886903296/989da0639804508c04b90239b46c8fd1.webp?size=1024 - After: https://cdn.discordapp.com/avatars/187146411886903296/471b6c01f756e920376f2fa80c680670.webp?size=1024'
b'Record: [ 25/07/19  01:44:48 ] - Action: Update - User: Titan - Content: Cromirko'
b'Record: [ 25/07/19  02:11:50 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/68ab149a1adacdb8033c923b70d6c95c.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/933e744bd4c9d97ad09c653132e5c845.webp?size=1024'
b'Record: [ 25/07/19  15:29:19 ] - Action: Update - User: karolis2091 - Before: https://cdn.discordapp.com/avatars/182115564477480960/1162f4a0d4450f3ab1d0ad44695376fb.webp?size=1024 - After: https://cdn.discordapp.com/avatars/182115564477480960/4f0e40f15ac448b2a2967789293d6d19.webp?size=1024'
b'Record: [ 25/07/19  22:04:45 ] - Action: Update - User: kerii - Before: https://cdn.discordapp.com/avatars/307504245588885506/f94299940b2f73c8b2b588012273f7a7.webp?size=1024 - After: https://cdn.discordapp.com/avatars/307504245588885506/147a5db5a0d936f0ba9bc69754e2c2c2.webp?size=1024'
b'Record: [ 25/07/19  22:05:28 ] - Action: Update - User: kerii - Content: smygolas gaming'
b'Record: [ 25/07/19  22:07:48 ] - Action: Update - User: smygolas gaming - Before: https://cdn.discordapp.com/avatars/307504245588885506/147a5db5a0d936f0ba9bc69754e2c2c2.webp?size=1024 - After: https://cdn.discordapp.com/avatars/307504245588885506/f120ecda301f21ca7a43200559068472.webp?size=1024'
b'Record: [ 26/07/19  16:24:21 ] - Action: Update - User: Vierchatura - Before: https://cdn.discordapp.com/avatars/535446292814626817/cbb4dc8bfa49201dd0df88771d384b03.webp?size=1024 - After: https://cdn.discordapp.com/avatars/535446292814626817/a_782c7f10a237b862b400f5a582dbbd45.gif?size=1024'
b'Record: [ 26/07/19  16:33:17 ] - Action: Update - User: Vierchatura - Before: https://cdn.discordapp.com/avatars/535446292814626817/a_782c7f10a237b862b400f5a582dbbd45.gif?size=1024 - After: https://cdn.discordapp.com/avatars/535446292814626817/a_3cbd3626653f6c3942b59f30dabafd12.gif?size=1024'
b'Record: [ 26/07/19  19:50:40 ] - Action: Update - User: oIce Teak - Before: https://cdn.discordapp.com/avatars/264420418167767042/1496d1a05f02b305b9ccb7a2b02af520.webp?size=1024 - After: https://cdn.discordapp.com/avatars/264420418167767042/644c4599c21dc50a810b4816f7d34a88.webp?size=1024'
b'Record: [ 27/07/19  11:50:20 ] - Action: Update - User: MuscleShop - Before: https://cdn.discordapp.com/avatars/301348455652130816/4dea22a597c506bfa39dac083cff0e87.webp?size=1024 - After: https://cdn.discordapp.com/avatars/301348455652130816/8c28adeaad21d2359d392c58b8be09ea.webp?size=1024'
b'Record: [ 27/07/19  13:50:40 ] - Action: Update - User: karolis2091 - Before: https://cdn.discordapp.com/avatars/182115564477480960/389d01c3cac67e5e75bdbb8843e1437d.webp?size=1024 - After: https://cdn.discordapp.com/avatars/182115564477480960/94cdb1380b0f28a96b938ace0174dbba.webp?size=1024'
