b"Record: [ 27/07/19  18:13:29 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604707947112562709 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/604707947112562709/unknown.png'>]"
b"Record: [ 27/07/19  18:14:46 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604708271567273985 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/604708271567273985/unknown.png'>]"
b"Record: [ 27/07/19  18:27:34 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604711493002461229 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/604711493002461229/unknown.png'>]"
b"Record: [ 27/07/19  18:59:30 ] - Action: Upload - User: <@566292177161027586> - Content: [<Attachment id=604719525438423090 filename='01_corp.gif' url='https://cdn.discordapp.com/attachments/602631551984992275/604719525438423090/01_corp.gif'>]"
b'Record: [ 28/07/19  10:09:17 ] - Action: Writte - User: <@566292177161027586> - Content: \xf0\x9f\x98\x84'
b'Record: [ 28/07/19  20:31:13 ] - Action: Writte - User: <@!566292177161027586> - Content: .rank'
b'Record: [ 28/07/19  20:31:13 ] - Action: Writte - User: <@599615116044009477> - Content: '
b'Record: [ 29/07/19  22:57:12 ] - Action: Writte - User: <@!566292177161027586> - Content: .post ran Gali b\xc5\xabti visko.'
b'Record: [ 29/07/19  22:57:46 ] - Action: Writte - User: <@!566292177161027586> - Content: .post ran <@591592475769045021>  <:LoveMe:536556397010092053>'
b'Record: [ 30/07/19  13:50:42 ] - Action: Writte - User: <@!566292177161027586> - Content: **OOLC bendruomen\xc4\x97s hierarchija**\n\n:7_: **[A] Administratorius**\n:6_: **[M] Moderatorius**\n:5_: **[D] Diplomatas**\n:4_: **[P] Patar\xc4\x97jas**\n:3_: **[PvM] Lyderis** **-** **[PK] Lyderis**\n:2_: **[PvM] Player vs Monster**\n:1_: **[MM] Narys**\n\n**Privil\xc4\x97gijos**\n\n:6_: **Discord:** *Audit Log, Create instant invite, Ban, Kick, Move, Mute* **| Clan Chat:** *Kick*\n:5_: **Clan Chat:** *Kick*\n:4_: **Discord:** *Create instant invite*\n\n**Paauk\xc5\xa1tinimo - Pri\xc4\x97mimo reikalavimai**\n\n:6_: *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 4 Lygis**, **@[D] Diplomatas** *statusus ir gauti vis\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacijas.*\n\n:5_: *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 3 Lygis** *status\xc4\x85,* **@[P] Patar\xc4\x97jas** *status\xc4\x85 ir gauti 60 procent\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacij\xc5\xb3.*\n\n:4_: *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 2 Lygis** *status\xc4\x85 ir gauti 70 procent\xc5\xb3* ***[D] Diplomat\xc5\xb3*** *rekomendacij\xc5\xb3.*\n\n:3_: *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 2 Lygis**, **@[PvM] Player vs Monster** *arba* **@[PK] Player Killer**  *statusus, gauti 60 procent\xc5\xb3* **[D] Diplomat\xc5\xb3** *rekomendacij\xc5\xb3, suorganizuoti 5 ne oficialius PvM arba PK eventus.*\n\n:2_: *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[MM] Narys** *status\xc4\x85 ir aktyviai dalyvauti PvM eventuose.*\n\n:1_: *\xc5\xbdaid\xc4\x97jas turi atitikti OOLC bendruomen\xc4\x97s standartus.*'
